ID,category,name,price,link,brand,warranty,type,Màu sắc của ổ cứng,Dung lượng,Kết nối,Tốc độ đọc,Hỗ trợ hệ điều hành,Kích thước,Tốc độ vòng quay,Tốc độ ghi,Bộ nhớ NAND,cache,warranty_desc
storage_087,Storage,"Ổ cứng HDD WD 4TB Purple (3.5 inch, 5400RPM, SATA, 256MB cache) (WD43PURZ)",4990000,https://phongvu.vn/o-cung-hdd-western-digital-purple-4tb-256mb-cache-5400rpm-wd43purz--s240502090,WD,36 tháng,HDD,Tím,4TB,SATA 3,,,"3.5""",5400RPM,,,256MB,
storage_088,Storage,Ổ cứng để bàn HDD Lacie 2BIG ThunderBolt3 32TB (STLG32000400),77990000,https://phongvu.vn/o-cung-de-ban-hdd-lacie-2big-thunderbolt3-32tb-stgb32000400--s240303238,Lacie,60 tháng,HDD,Đen,32TB,"USB 3.0, Thunderbolt 3",,"Windows, macOS",,,,,,
storage_089,Storage,Ổ Cứng gắn trong Samsung SSD 990 EVO 2TB M.2(2280) PCIe 4.0 x4 /5.0 x2 NVMe 2.0 (MZ-V9E2T0BW),5180000,https://phongvu.vn/o-cung-gan-trong-samsung-ssd-990-evo-2tb-m-2-2280-pcie-4-0-x4-5-0-x2-nvme-2-0-mz-v9e2t0bw--s240302656,Samsung,60 tháng,SSD,Đen,2TB,M.2 NVMe,5000MB/s,,M.2 2280,,4200MB/s,V-NAND,,
storage_090,Storage,"Ổ cứng gắn trong SEAGATE HDD IronWolf 8TB, 7200 RPM, Cache 256MB (ST8000VN004)",8990000,https://phongvu.vn/o-cung-gan-trong-seagate-hdd-ironwolf-8tb-7200-rpm-cache-256mb-st8000vn004--s240302563,Seagate,36 tháng,HDD,Đỏ,8TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_091,Storage,"Ổ cứng gắn trong SEAGATE HDD SkyHawk AI 10TB, 7200 RPM, Cache 256MB (ST10000VE001)",14290000,https://phongvu.vn/o-cung-gan-trong-seagate-hdd-skyhawk-ai-10tb-7200-rpm-cache-256mb-st10000ve001--s240302556,Seagate,60 tháng,HDD,Bạc,10TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_092,Storage,Ổ cứng gắn trong SSD WD Blue SN580 NVMe 2TB PCIe Gen 4.0 (WDS200T3B0E),3749000,https://phongvu.vn/o-cung-gan-trong-ssd-wd-blue-sn580-nvme-2tb-pcie-gen-4-0-wds200t3b0e--s231200163,WD,60 tháng,SSD,Xanh,2TB,M.2 NVMe,4150MB/s,,M.2 2280,,4150MB/s,Không,,
storage_093,Storage,Ổ cứng SSD WD Blue SA510 500GB M.2-2280 SATA (WDS500G3B0B),1290000,https://phongvu.vn/o-cung-gan-trong-ssd-wd-sata-blue-sa510-500gb-wds500g3b0b--s231104035,WD,60 tháng,SSD,Xanh,500GB,SATA,560MB/s,,M.2 2280,,510MB/s,,,
storage_094,Storage,Ổ cứng SSD WD SN850X 1TB Black NVMe SSD PCIe Gen 4 M.2 (WDS100T2X0E),9690000,https://phongvu.vn/o-cung-ssd-wd-sn850x-500gb-black-nvme-ssd-pcie-gen-4-m-2-wds100t2x0e--s230803475,WD,60 tháng,SSD,Đen,1TB,M.2 NVMe,7300MB/s,"Windows 11, Windows 8.1, Windows 10",M.2 2280,,6300MB/s,,,
storage_095,Storage,Ổ cứng SSD WD 1TB Green SATA3 2.5 inch (WDS100T3G0A),1679000,https://phongvu.vn/o-cung-ssd-wd-1tb-green-sata3-2-5-inch-wds100t3g0a--s230803473,WD,36 tháng,SSD,Xanh,1TB,SATA 3,545MB/s,,"2.5""",,,,,
storage_096,Storage,Ổ cứng gắn ngoài để bàn HDD 20TB USB3.0/3.5 inch Seagate One Touch HUB Đen - STLC20000400,23490000,https://phongvu.vn/o-cung-gan-ngoai-de-ban-hdd-20tb-usb3-0-3-5-inch-seagate-one-touch-hub-den-stlc20000400--s230802351,Seagate,36 tháng,External,Đen,20TB,,,"Windows, Mac","3.5""",,,,,
storage_097,Storage,Ổ cứng gắn trong SSD MSI SPATIUM S270 960GB 2.5 inch Sata 3,1849000,https://phongvu.vn/o-cung-ssd-msi-spatium-s270-sata-2-5-960gb-den--s230703399,Msi,60 tháng,Unknown,Đen,960GB,SATA 3,500MB/s,,"2.5""",,450MB/s,3D-NAND,,
storage_098,Storage,"Ổ cứng HDD NAS Seagate Ironwolf Pro 10TB 3.5"" (7200rpm, 256MB cache, SATA3) (ST10000NT001)",9390000,https://phongvu.vn/o-cung-hdd-nas-seagate-ironwolf-pro-10tb-3-5-7200rpm-256mb-cache-sata3-st10000nt001--s230603704,Seagate,60 tháng,HDD,Đen,10TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_099,Storage,Ổ cứng gắn trong SSD Samsung PM893 SATA3 3840GB (MZ-7L33T800),11490000,https://phongvu.vn/o-cung-gan-trong-ssd-samsung-pm893-sata3-3840gb-mz-7l33t800--s230603289,Samsung,36 tháng,SSD,Đen,3840GB,SATA 3,550MB/s,,"2.5""",,520MB/s,Không,,
storage_100,Storage,"Ổ Cứng di Động Lexar SSD Portable 512G SL200, 400MB/s USB 3.1 Gen 2 Type-C (LSL200X512G-RNNNG)",1490000,https://phongvu.vn/o-cung-di-dong-lexar-ssd-portable-512g-sl200-400mb-s-usb-3-1-gen-2-type-c-lsl200x512g-rnnng--s230603103,Lexar,36 tháng,SSD,Đen,512GB,USB Type C,550MB/s,,Khác,,400MB/s,,,
storage_101,Storage,"Ổ Cứng di Động Lexar SSD Portable 2TB SL210, USB 3.1 Gen 2 Type-C (LSL210X002T-RNNNG)",4190000,https://phongvu.vn/o-cung-di-dong-lexar-ssd-portable-2tb-sl210-usb-3-1-gen-2-type-c-lsl210x002t-rnnng--s230603102,Lexar,36 tháng,SSD,Bạc,2TB,USB Type C,550MB/s,"Windows 8, Windows 10, macOS, Windows 7",,,400MB/s,,,
storage_102,Storage,"Ổ cứng gắn trong Seagate BarraCuda 1TB 7200rpm SATA 3.5"" (ST1000DM014)",2690000,https://phongvu.vn/o-cung-gan-trong-seagate-barracuda-1tb-7200rpm-sata-3-5-st1000dm014--s230603099,Seagate,24 tháng,HDD,Bạc,1TB,SATA,,,"3.5""",7200RPM,,Không,256MB,
storage_103,Storage,Ổ Cứng Di Động HDD LaCie Mobile Drive 2022 5TB USB-C 3.2 gen 1 (Bạc) - STLP5000400,8290000,https://phongvu.vn/o-cung-di-dong-hdd-lacie-mobile-drive-2022-5tb-usb-c-3-2-gen-1-bac-stlp5000400--s230502045,Lacie,36 tháng,di động HDD,Bạc,5TB,,130MB/s,"macOS, Windows",,,,,,
storage_104,Storage,"Ổ cứng di động SSD Samsung Portable T7 Shield Portable  4TB 2.5"" (MU-PE4T0S/WW) (Đen)",10925000,https://phongvu.vn/o-cung-di-dong-ssd-samsung-portable-t7-shield-portable-4tb-2-5-mu-pe4t0s-ww-den--s230500528,Samsung,36 tháng,SSD,Đen,4TB,USB 3.2,1050MB/s,"macOS, Windows 7, Mac, Android","2.5""",,1000MB/s,V-NAND,,
storage_105,Storage,Ổ cứng HDD Seagate IronWolf 10TB 3.5 inch (ST10000VN000),11290000,https://phongvu.vn/o-cung-hdd-seagate-ironwolf-10tb-3-5-inch-st10000vn000--s230400254,Seagate,36 tháng,HDD,Bạc,10TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_106,Storage,Ổ cứng SSD Gigabyte AORUS 500GB PCIe Gen 4x4 (GP-AG4500G),1879000,https://phongvu.vn/o-cung-ssd-gigabyte-aorus-500gb-pcie-gen-4x4-gp-ag4500g--s230304987,Gigabyte,36 tháng,SSD,Đen,500GB,PCIe,5000MB/s,,M.2 2280,,2500MB/s,3D-NAND,512MB,
storage_107,Storage,"Ổ cứng gắn trong DESKTOP WD Black 6TB, 3.5, SATA 3 (WD6004FZWX)",6690000,https://phongvu.vn/o-cung-gan-trong-desktop-wd-black-6tb-3-5-sata-3-wd6004fzwx--s230300035,WD,60 tháng,HDD,Đen,6TB,SATA 3,,,"3.5""",7200RPM,,,128MB,
